#OTU ID	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	B13	B14	B15	B16a	B16b	B17	B18	B19	C02	C03	C04	C04_75	C05	C06	C07	C08	C09	C10	C11	C12	C13	C14	C15	C16	C17	C18	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	D13	D14	D15	D16	D17	D18	Consensus Lineage
OTU_1403	256	128	323	100	168	81	22	11	34	34	27	11	13	20	6	10	15	8	8	6	11	316	203	484	93	62	84	18	25	124	253	204	81	3	4	5	7	7	6	9	6	192	321	116	348	137	199	105	27	5	3	8	12	3	15	5	10	2	7	200	131	45	171	121	121	127	79	48	12	3	13	7	5	3	8	6	4	 k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Polynucleobacter; s__
OTU_142	126	58	176	34	39	31	47	45	122	325	280	95	105	215	71	131	117	50	107	77	38	16	22	69	17	13	26	5	2	39	59	74	60	12	42	17	50	32	37	37	39	40	96	31	117	31	29	62	29	5	16	24	23	10	6	6	14	5	14	97	67	57	92	59	58	31	54	79	33	6	19	12	16	40	55	40	29	 k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__; s__
OTU_24	128	86	260	107	105	422	2171	2140	2224	3000	2150	676	432	751	206	302	251	165	124	88	56	2	0	3	3	11	47	40	86	493	1662	874	355	15	25	6	11	20	46	39	31	35	31	16	54	14	68	73	196	67	27	57	15	3	11	2	14	7	7	21	25	14	25	18	27	21	10	13	6	8	11	5	1	5	3	4	2	 k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
OTU_145	1063	268	1115	15	58	15	218	525	926	1020	561	286	87	181	6	3	2	0	0	0	0	187	138	280	98	140	84	139	28	2	169	269	26	17	64	2	2	2	2	1	0	96	175	121	115	109	179	172	108	65	17	18	3	0	2	1	1	0	0	87	127	82	397	328	291	288	214	146	18	14	11	3	5	3	1	0	0	 k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Cryptophyta; f__; g__; s__
OTU_69	162	93	248	76	108	50	69	72	136	242	199	100	76	96	42	42	52	31	39	44	16	187	122	681	154	218	332	95	60	126	284	263	126	2	14	5	7	11	15	13	4	72	166	66	195	32	112	61	92	14	8	5	10	5	9	5	10	4	10	84	59	70	79	65	59	72	66	71	25	6	10	0	2	3	5	1	2	 k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__C111; g__; s__
OTU_25	9	12	16	4	5	0	0	2	0	1	2	1	0	1	0	0	1	1	0	0	0	449	352	949	189	11	3	0	1	0	1	0	0	0	0	0	1	1	1	0	0	220	628	513	1020	558	842	1229	393	66	29	35	1	1	3	0	1	0	0	1704	1247	1348	1423	1144	992	693	164	26	0	1	2	0	1	3	1	0	2	 k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__ACK-M1; g__; s__
OTU_59	108	45	139	45	75	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	43	20	173	65	138	220	100	81	277	414	209	118	1	0	0	0	0	1	0	1	367	871	176	763	242	243	166	75	8	4	2	4	3	3	0	1	0	0	351	222	202	323	224	218	161	33	21	14	4	4	2	0	0	0	0	0	 k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__C111; g__; s__
OTU_90	174	120	290	85	92	74	47	50	149	271	215	75	55	75	9	33	18	20	20	23	18	38	31	62	29	78	138	54	44	99	221	130	54	3	8	10	14	8	8	7	14	88	194	110	352	131	260	569	266	21	25	35	29	12	21	5	12	8	8	35	38	24	41	58	72	187	225	290	162	11	10	5	3	7	11	9	5	 k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__; g__; s__
OTU_680	43	21	187	26	20	17	20	60	107	137	217	150	73	71	11	10	6	8	5	2	7	5	4	6	2	8	44	12	6	10	10	0	1	2	10	9	12	8	6	4	8	68	123	61	170	159	113	145	99	21	0	17	23	11	19	5	20	11	21	1355	1052	682	918	1058	881	787	246	454	18	3	3	3	3	5	5	10	17	 k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__[Cerasicoccales]; f__[Cerasicoccaceae]; g__; s__
OTU_354	117	48	225	12	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	22	19	67	32	23	2	4	2	0	0	4	0	0	0	0	0	0	0	0	0	56	50	4	2	7	9	3	5	1	0	1	1	0	0	0	0	0	0	57	99	45	50	22	18	16	13	3	2	0	0	0	0	1	0	0	0	 k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Cryptophyta; f__; g__; s__
OTU_13	409	163	532	202	375	737	215	259	271	489	398	135	112	191	78	87	110	55	98	85	37	737	557	2492	580	349	722	214	214	582	986	644	473	47	148	84	149	130	95	113	89	329	709	290	960	454	518	611	428	131	104	93	65	38	85	52	132	46	64	1117	858	1018	1074	692	661	930	751	1095	394	120	192	76	82	87	117	81	42	 k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__
OTU_2342	2	1	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	3	0	2	0	0	0	0	1	1	0	0	0	0	0	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_3	269	116	362	145	288	1719	2330	2243	3262	4573	3699	1322	1458	1934	637	1012	1009	510	745	677	247	1211	884	5575	1532	3688	5612	1499	667	2084	2297	1378	973	165	504	336	602	627	623	573	486	525	1654	788	3138	617	1505	1426	1649	198	403	486	364	296	265	175	311	73	132	2745	2029	1938	2242	1831	1947	2275	1847	2161	1351	570	851	359	231	332	356	195	140	 k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__C111; g__; s__
OTU_2772	21	33	99	63	64	44	846	2158	1770	2113	1727	563	293	474	114	136	58	83	14	13	11	2	0	1	0	1	4	5	7	51	324	248	106	2	3	1	2	2	8	5	4	27	104	79	293	61	279	598	864	86	14	23	5	0	1	0	4	0	1	68	47	24	41	30	32	21	4	3	0	0	1	1	0	0	0	1	1	 k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
OTU_216	72	47	295	214	293	200	54	89	189	148	133	104	33	141	25	20	20	26	5	2	0	140	97	272	55	3	4	1	6	17	195	101	47	0	4	0	3	4	0	0	0	46	65	30	76	51	84	107	47	3	0	0	1	0	0	0	1	1	0	93	55	71	83	60	50	51	34	27	10	2	2	2	1	2	2	5	7	 k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__Fluviicola; s__
